User ID,Date,Amount,Category,Description
7,2023-03-10,157.29,Transport,Taxi
2,2024-02-21,135.61,Entertainment,Cinema
7,2023-10-23,24.36,Transport,Taxi
7,2023-02-14,189.08,Utilities,Gas
10,2022-11-24,58.45,Clothing,Fashion
4,2023-12-22,104.94,Food Delivery,Deliveroo
5,2024-01-03,102.15,Groceries,Market
2,2024-04-28,121.51,Rent,Housing
8,2024-06-28,199.41,Transport,Taxi
4,2023-06-21,119.72,Transport,Train
5,2022-12-21,182.6,Entertainment,Netflix
5,2023-11-14,136.91,Utilities,Electricity
4,2022-12-09,44.77,Utilities,Internet
3,2023-03-23,25.88,Savings,Savings Account
7,2023-09-21,167.81,Savings,Deposit
8,2022-09-01,48.52,Savings,Savings Account
8,2023-06-29,69.15,Savings,Savings Account
8,2024-04-08,24.44,Restaurants,Cafe
6,2022-11-14,97.55,Rent,Rent
7,2022-11-22,48.56,Clothing,Fashion
1,2023-07-14,176.53,Transport,Bus
6,2023-08-08,40.51,Savings,Savings Account
4,2023-09-28,32.28,Clothing,Clothing Store
9,2023-03-12,181.35,Healthcare,Pharmacy
9,2022-09-01,124.23,Restaurants,Restaurant
10,2023-01-10,199.5,Rent,Housing
5,2024-03-06,139.92,Transport,Taxi
8,2023-10-09,31.06,Savings,Deposit
6,2024-06-18,13.75,Rent,Apartment
7,2024-05-30,32.32,Restaurants,Restaurant
6,2023-02-09,169.47,Rent,Rent
8,2023-07-25,132.38,Savings,Savings Account
3,2024-07-17,168.53,Clothing,Fashion
2,2023-04-25,145.22,Savings,Deposit
6,2022-12-16,75.13,Healthcare,Pharmacy
10,2023-01-21,101.81,Utilities,Gas
4,2024-05-24,79.16,Entertainment,Concert
5,2023-11-24,145.66,Rent,Apartment
10,2023-06-29,193.19,Entertainment,Concert
4,2024-03-17,62.62,Healthcare,Doctor
3,2023-11-23,141.75,Healthcare,Pharmacy
3,2023-01-20,174.54,Clothing,Apparel
3,2023-11-17,123.81,Groceries,Market
4,2024-05-06,169.44,Savings,Deposit
3,2023-02-20,124.32,Restaurants,Cafe
3,2023-11-13,182.93,Restaurants,Restaurant
7,2023-05-17,54.3,Entertainment,Concert
1,2024-02-13,109.81,Healthcare,Doctor
3,2022-08-16,119.7,Entertainment,Netflix
4,2023-04-03,169.31,Groceries,Grocery Store
3,2024-04-20,174.65,Utilities,Gas
10,2022-08-31,107.02,Transport,Train
8,2023-01-06,145.56,Transport,Taxi
4,2023-04-08,184.59,Utilities,Gas
2,2023-06-09,61.78,Entertainment,Netflix
2,2022-09-23,20.81,Clothing,Fashion
9,2023-01-25,190.61,Healthcare,Doctor
6,2023-11-03,161.61,Rent,Housing
7,2023-06-12,153.85,Healthcare,Hospital
7,2023-01-27,116.1,Savings,Savings Account
10,2023-04-11,108.36,Groceries,Supermarket
8,2022-12-25,71.08,Food Delivery,Deliveroo
2,2024-03-14,137.71,Clothing,Apparel
6,2023-11-17,129.48,Transport,Taxi
4,2023-06-20,166.93,Clothing,Apparel
7,2023-04-01,103.46,Utilities,Internet
7,2023-01-21,74.44,Groceries,Grocery Store
7,2023-04-28,122.48,Transport,Taxi
7,2024-03-09,47.4,Groceries,Grocery Store
7,2023-05-29,76.01,Restaurants,Diner
8,2024-05-22,11.56,Healthcare,Doctor
1,2022-11-15,83.44,Groceries,Supermarket
4,2023-01-20,33.63,Restaurants,Diner
8,2023-09-26,74.41,Transport,Train
10,2023-03-09,172.52,Utilities,Water
1,2023-03-10,16.49,Savings,Deposit
6,2023-07-19,165.1,Entertainment,Cinema
8,2024-08-02,100.07,Groceries,Market
2,2024-04-10,106.73,Healthcare,Doctor
2,2023-02-18,72.93,Clothing,Apparel
10,2024-07-08,80.35,Entertainment,Theater
7,2023-11-11,141.64,Groceries,Supermarket
1,2022-09-04,97.56,Savings,Deposit
5,2023-03-27,162.49,Transport,Taxi
2,2024-02-24,43.68,Transport,Taxi
10,2024-05-31,34.42,Savings,Savings Account
8,2023-11-23,145.64,Restaurants,Diner
6,2022-10-28,34.22,Entertainment,Netflix
5,2023-03-04,26.41,Savings,Savings Account
3,2023-11-10,172.75,Food Delivery,Deliveroo
6,2023-07-02,101.98,Transport,Uber
10,2023-02-28,30.37,Entertainment,Theater
2,2022-10-24,183.66,Entertainment,Concert
2,2024-07-29,169.84,Entertainment,Cinema
2,2023-01-03,63.36,Food Delivery,UberEats
4,2023-06-12,85.04,Clothing,Fashion
4,2023-09-05,30.83,Savings,Deposit
1,2024-04-13,88.93,Groceries,Grocery Store
5,2023-06-13,173.21,Groceries,Supermarket
3,2022-12-02,143.81,Entertainment,Concert
10,2023-12-07,177.03,Utilities,Water
4,2024-03-16,141.24,Savings,Deposit
2,2022-11-22,177.49,Clothing,Fashion
5,2023-11-08,28.26,Savings,Deposit
8,2022-08-25,164.86,Savings,Deposit
4,2024-03-23,194.18,Food Delivery,UberEats
9,2023-06-28,148.19,Groceries,Supermarket
2,2023-04-01,69.04,Rent,Housing
1,2023-06-06,199.19,Rent,Rent
5,2022-11-11,153.01,Healthcare,Pharmacy
6,2022-10-25,16.93,Restaurants,Diner
7,2023-06-06,31.69,Restaurants,Diner
6,2022-10-04,43.44,Savings,Deposit
3,2022-09-22,110.03,Utilities,Electricity
9,2023-12-25,50.42,Clothing,Apparel
6,2022-12-10,136.6,Clothing,Clothing Store
4,2023-04-27,141.79,Utilities,Internet
9,2022-10-25,176.94,Groceries,Market
1,2024-03-23,32.88,Food Delivery,GrubHub
3,2023-10-06,126.63,Food Delivery,GrubHub
2,2023-09-10,148.41,Groceries,Supermarket
5,2023-12-27,8.47,Utilities,Gas
2,2024-06-24,40.56,Food Delivery,Deliveroo
8,2023-01-13,199.27,Restaurants,Restaurant
9,2023-11-11,162.53,Rent,Apartment
7,2023-09-27,115.9,Rent,Rent
3,2023-10-06,116.02,Savings,Savings Account
10,2022-12-04,113.33,Healthcare,Pharmacy
1,2023-01-03,82.97,Transport,Bus
7,2023-03-15,112.02,Entertainment,Theater
4,2022-12-23,195.87,Restaurants,Restaurant
9,2024-04-02,127.81,Utilities,Internet
7,2024-04-18,105.77,Transport,Bus
9,2022-08-27,24.5,Transport,Bus
9,2023-06-27,72.14,Transport,Train
3,2023-10-04,10.7,Entertainment,Theater
3,2023-06-28,80.17,Food Delivery,Deliveroo
2,2023-06-03,173.61,Rent,Rent
8,2023-08-17,40.99,Utilities,Internet
5,2024-02-23,98.37,Restaurants,Diner
3,2023-01-19,10.13,Transport,Taxi
7,2023-11-12,121.01,Rent,Apartment
4,2024-07-02,107.69,Rent,Apartment
9,2022-12-28,66.21,Healthcare,Hospital
1,2022-11-14,28.6,Rent,Housing
5,2023-04-10,155.16,Transport,Taxi
3,2024-01-07,91.24,Savings,Deposit
3,2023-04-11,27.4,Transport,Taxi
7,2023-02-27,57.69,Utilities,Water
7,2023-02-28,55.49,Rent,Apartment
2,2024-03-01,183.63,Entertainment,Cinema
9,2023-11-23,117.57,Healthcare,Hospital
4,2024-05-13,92.69,Food Delivery,GrubHub
7,2024-06-22,10.26,Savings,Deposit
9,2024-04-15,130.18,Restaurants,Restaurant
4,2023-07-16,180.57,Transport,Taxi
4,2022-10-28,122.21,Food Delivery,UberEats
9,2023-09-23,50.97,Restaurants,Diner
7,2023-12-23,170.76,Restaurants,Restaurant
4,2023-07-02,132.65,Food Delivery,GrubHub
4,2023-12-23,183.74,Groceries,Grocery Store
3,2023-01-03,110.36,Utilities,Water
3,2022-11-15,163.63,Healthcare,Pharmacy
2,2023-11-30,162.22,Groceries,Grocery Store
2,2024-01-16,31.97,Healthcare,Pharmacy
9,2023-05-26,130.92,Transport,Uber
9,2023-07-17,149.99,Transport,Train
2,2024-02-27,114.21,Restaurants,Cafe
1,2022-11-15,47.21,Groceries,Grocery Store
7,2024-01-24,188.67,Utilities,Electricity
8,2023-05-27,181.19,Rent,Apartment
5,2022-11-24,123.48,Entertainment,Concert
10,2023-08-19,62.96,Healthcare,Hospital
4,2023-11-25,49.29,Restaurants,Cafe
1,2022-09-21,141.01,Savings,Deposit
8,2022-11-20,144.17,Savings,Savings Account
8,2023-05-17,55.62,Healthcare,Hospital
2,2023-03-23,193.59,Rent,Apartment
7,2023-08-27,152.59,Savings,Deposit
9,2024-01-12,125.68,Rent,Apartment
10,2024-01-03,82.56,Restaurants,Cafe
7,2023-05-11,27.47,Transport,Taxi
9,2024-02-01,175.35,Food Delivery,Deliveroo
8,2023-04-03,99.6,Clothing,Apparel
8,2022-12-23,154.02,Restaurants,Cafe
5,2023-03-07,81.62,Groceries,Supermarket
2,2023-01-29,142.09,Restaurants,Diner
5,2024-01-25,118.21,Food Delivery,GrubHub
5,2023-08-14,36.84,Rent,Apartment
4,2022-12-30,90.16,Healthcare,Doctor
5,2024-01-17,107.58,Savings,Savings Account
10,2024-07-10,195.55,Restaurants,Cafe
2,2022-12-17,198.36,Savings,Savings Account
2,2023-04-21,68.63,Groceries,Market
5,2023-10-23,163.7,Rent,Apartment
6,2022-12-03,47.03,Clothing,Fashion
10,2022-11-15,54.73,Savings,Deposit
10,2022-12-11,168.88,Healthcare,Doctor
6,2023-09-07,40.21,Savings,Savings Account
10,2023-08-05,135.57,Groceries,Grocery Store
1,2023-12-28,192.26,Utilities,Electricity
3,2023-03-11,96.61,Food Delivery,Deliveroo
1,2022-10-27,40.97,Savings,Savings Account
8,2023-12-04,143.17,Restaurants,Restaurant
10,2024-06-11,27.78,Food Delivery,Deliveroo
7,2024-05-06,104.63,Entertainment,Netflix
5,2023-07-25,197.23,Restaurants,Restaurant
6,2024-04-19,24.75,Entertainment,Cinema
7,2024-03-29,23.37,Restaurants,Cafe
3,2023-05-21,126.72,Healthcare,Doctor
5,2023-01-06,62.52,Clothing,Fashion
9,2024-06-23,78.42,Rent,Apartment
8,2023-02-12,122.0,Groceries,Supermarket
10,2023-04-29,57.13,Restaurants,Diner
6,2023-02-08,175.68,Clothing,Fashion
4,2023-08-12,73.25,Rent,Rent
10,2023-01-28,193.13,Healthcare,Doctor
3,2023-01-25,168.04,Entertainment,Netflix
10,2023-03-03,19.49,Food Delivery,UberEats
8,2023-09-21,9.82,Groceries,Supermarket
10,2023-01-18,38.07,Rent,Housing
1,2022-10-20,189.91,Rent,Apartment
7,2023-08-22,40.8,Savings,Savings Account
3,2023-01-25,47.41,Rent,Apartment
2,2023-08-12,47.75,Restaurants,Cafe
3,2022-11-08,139.24,Clothing,Apparel
6,2023-03-27,118.78,Transport,Taxi
7,2023-09-14,81.73,Restaurants,Restaurant
4,2023-10-20,125.66,Utilities,Electricity
5,2024-04-03,183.28,Utilities,Water
3,2022-08-29,101.37,Food Delivery,UberEats
7,2023-08-15,131.29,Clothing,Fashion
1,2023-02-07,48.58,Transport,Bus
3,2024-03-14,117.07,Restaurants,Cafe
1,2023-11-10,174.21,Transport,Taxi
10,2024-03-14,134.16,Entertainment,Netflix
7,2023-12-06,60.45,Transport,Train
7,2023-10-18,29.46,Transport,Train
7,2022-08-13,117.64,Healthcare,Doctor
9,2022-12-22,146.45,Healthcare,Hospital
3,2022-08-19,165.51,Entertainment,Theater
7,2023-07-19,106.08,Healthcare,Hospital
9,2022-09-15,113.6,Savings,Deposit
4,2024-07-10,127.98,Food Delivery,Deliveroo
4,2023-11-25,145.21,Healthcare,Doctor
1,2024-04-05,102.13,Restaurants,Diner
10,2023-06-19,161.64,Clothing,Apparel
5,2024-03-25,60.76,Utilities,Water
4,2023-01-10,194.15,Entertainment,Concert
9,2023-01-18,57.18,Food Delivery,GrubHub
3,2023-05-13,109.75,Rent,Apartment
2,2023-12-20,77.59,Healthcare,Hospital
4,2023-09-16,120.18,Healthcare,Doctor
5,2023-05-23,134.61,Utilities,Gas
3,2022-08-22,75.15,Groceries,Supermarket
5,2022-10-23,106.8,Entertainment,Concert
4,2023-12-16,33.6,Food Delivery,GrubHub
6,2023-11-03,185.4,Transport,Train
2,2023-06-02,21.25,Transport,Uber
6,2023-10-24,101.65,Rent,Apartment
10,2023-11-03,182.12,Restaurants,Cafe
4,2023-09-23,88.8,Food Delivery,GrubHub
3,2024-01-05,8.83,Transport,Taxi
8,2024-05-14,89.49,Healthcare,Doctor
7,2023-06-16,23.94,Entertainment,Concert
7,2023-12-06,185.99,Groceries,Grocery Store
8,2024-06-27,41.14,Healthcare,Pharmacy
5,2024-02-21,135.35,Transport,Bus
5,2024-04-17,164.0,Groceries,Market
8,2023-08-13,175.38,Groceries,Supermarket
8,2022-10-15,147.69,Utilities,Internet
10,2024-04-19,132.23,Entertainment,Concert
10,2022-08-16,124.61,Groceries,Supermarket
6,2023-04-02,190.25,Food Delivery,Deliveroo
1,2023-03-07,184.59,Utilities,Internet
7,2024-06-26,27.08,Savings,Savings Account
7,2023-11-24,7.25,Groceries,Supermarket
3,2022-12-12,95.81,Healthcare,Pharmacy
3,2023-09-10,170.26,Restaurants,Restaurant
2,2022-08-20,178.32,Groceries,Grocery Store
5,2023-08-09,127.53,Entertainment,Theater
10,2024-05-12,90.24,Rent,Rent
2,2023-08-18,91.61,Food Delivery,Deliveroo
4,2023-02-22,143.59,Transport,Bus
2,2024-08-04,66.13,Clothing,Fashion
7,2023-03-05,170.87,Rent,Apartment
4,2024-01-18,45.77,Transport,Uber
6,2023-06-16,198.15,Entertainment,Netflix
1,2022-12-02,197.86,Transport,Taxi
9,2024-07-02,12.13,Clothing,Clothing Store
9,2024-07-04,46.02,Healthcare,Pharmacy
9,2023-11-10,194.65,Groceries,Grocery Store
5,2022-10-24,194.07,Food Delivery,GrubHub
4,2023-06-09,18.44,Rent,Rent
1,2022-09-08,179.67,Rent,Apartment
9,2023-05-26,15.64,Healthcare,Hospital
7,2024-06-18,97.56,Restaurants,Cafe
4,2024-02-29,45.46,Entertainment,Cinema
8,2023-11-02,136.89,Rent,Rent
7,2023-01-29,181.6,Restaurants,Diner
5,2022-09-07,37.56,Rent,Rent
9,2023-12-18,194.83,Clothing,Clothing Store
7,2023-04-04,192.67,Transport,Uber
5,2024-05-25,121.09,Entertainment,Theater
3,2024-07-11,86.9,Food Delivery,GrubHub
2,2024-04-18,109.09,Clothing,Fashion
5,2023-09-23,87.64,Savings,Savings Account
5,2024-01-11,13.26,Food Delivery,UberEats
1,2024-07-27,106.83,Rent,Rent
4,2022-09-21,160.74,Healthcare,Pharmacy
5,2024-01-12,55.15,Transport,Bus
1,2024-04-26,189.92,Utilities,Electricity
6,2022-08-30,71.93,Utilities,Electricity
10,2023-05-10,124.64,Entertainment,Cinema
3,2023-03-20,152.24,Transport,Uber
2,2023-04-20,194.21,Transport,Bus
5,2023-07-22,65.09,Restaurants,Cafe
5,2024-01-07,59.33,Utilities,Water
8,2024-07-28,170.95,Healthcare,Hospital
7,2023-03-20,129.11,Restaurants,Cafe
9,2023-06-13,139.94,Savings,Savings Account
6,2024-05-23,18.82,Restaurants,Cafe
5,2024-04-08,21.32,Restaurants,Cafe
9,2023-01-06,191.16,Transport,Uber
1,2024-01-25,180.4,Groceries,Supermarket
6,2024-02-06,180.1,Food Delivery,UberEats
4,2023-10-02,183.62,Groceries,Market
10,2023-07-01,52.04,Rent,Apartment
4,2024-04-08,95.82,Entertainment,Netflix
10,2024-01-05,49.3,Clothing,Clothing Store
2,2023-04-08,9.06,Restaurants,Diner
4,2024-01-06,167.98,Transport,Train
10,2024-04-28,76.66,Transport,Uber
7,2024-01-18,8.12,Utilities,Internet
4,2024-01-13,163.46,Restaurants,Restaurant
2,2023-06-18,116.11,Healthcare,Hospital
4,2024-02-21,137.21,Utilities,Internet
10,2023-05-01,157.47,Groceries,Grocery Store
8,2023-08-13,82.17,Rent,Rent
1,2023-03-08,28.76,Utilities,Electricity
8,2023-11-04,104.54,Groceries,Grocery Store
10,2023-05-28,179.28,Clothing,Clothing Store
7,2023-02-28,13.07,Utilities,Electricity
10,2023-02-06,73.67,Food Delivery,GrubHub
3,2023-08-26,178.89,Utilities,Water
6,2023-04-07,59.12,Restaurants,Restaurant
6,2023-08-04,198.87,Healthcare,Pharmacy
3,2022-09-11,21.51,Entertainment,Cinema
5,2023-02-04,119.54,Clothing,Apparel
3,2023-09-14,56.73,Food Delivery,Deliveroo
3,2023-02-21,90.77,Transport,Taxi
10,2023-06-03,38.16,Transport,Taxi
5,2023-10-20,114.34,Healthcare,Doctor
1,2024-02-13,135.42,Groceries,Market
9,2023-08-03,53.31,Groceries,Market
5,2022-10-15,31.33,Groceries,Market
1,2023-03-03,182.19,Utilities,Electricity
8,2024-01-20,167.14,Clothing,Clothing Store
6,2024-03-30,141.53,Savings,Savings Account
5,2023-09-15,110.41,Clothing,Fashion
8,2022-09-14,62.82,Groceries,Market
2,2023-06-13,5.95,Utilities,Gas
7,2024-01-31,134.04,Transport,Taxi
10,2022-10-17,159.14,Healthcare,Doctor
5,2024-01-08,138.81,Food Delivery,GrubHub
1,2022-09-22,97.76,Clothing,Fashion
9,2024-05-29,186.03,Healthcare,Hospital
7,2022-12-12,43.83,Groceries,Supermarket
8,2023-11-06,153.03,Rent,Rent
5,2023-06-12,146.79,Utilities,Gas
8,2022-11-20,157.87,Restaurants,Restaurant
9,2022-09-22,179.63,Food Delivery,GrubHub
5,2023-04-23,56.85,Healthcare,Doctor
7,2024-07-04,63.2,Restaurants,Restaurant
10,2022-08-11,167.98,Healthcare,Pharmacy
1,2023-04-18,30.78,Groceries,Supermarket
3,2022-08-21,37.29,Groceries,Supermarket
3,2024-01-31,123.85,Utilities,Electricity
10,2022-11-21,100.56,Healthcare,Doctor
5,2023-05-16,131.85,Savings,Savings Account
10,2022-09-20,74.09,Entertainment,Theater
3,2023-08-16,115.57,Entertainment,Netflix
7,2022-11-23,117.7,Entertainment,Netflix
9,2024-05-12,95.2,Utilities,Water
9,2024-03-25,195.82,Utilities,Internet
6,2024-04-13,179.98,Restaurants,Restaurant
6,2023-09-23,148.2,Entertainment,Theater
7,2022-11-15,147.88,Healthcare,Doctor
3,2023-10-27,161.95,Healthcare,Doctor
2,2024-05-28,161.74,Food Delivery,Deliveroo
9,2024-01-30,159.73,Healthcare,Pharmacy
6,2024-04-25,48.04,Clothing,Clothing Store
4,2023-05-24,133.09,Restaurants,Cafe
10,2022-11-05,96.76,Rent,Apartment
5,2023-11-06,94.15,Savings,Deposit
10,2022-11-27,171.9,Restaurants,Restaurant
4,2024-02-15,101.07,Entertainment,Cinema
6,2024-04-09,108.71,Savings,Savings Account
6,2024-07-10,76.74,Utilities,Water
8,2023-01-07,94.43,Savings,Savings Account
6,2023-03-29,6.44,Transport,Bus
1,2023-05-13,16.66,Groceries,Grocery Store
9,2023-03-10,161.84,Healthcare,Doctor
8,2023-05-06,188.59,Groceries,Market
10,2024-03-23,154.18,Food Delivery,Deliveroo
1,2024-06-13,172.62,Clothing,Apparel
6,2023-10-07,139.51,Rent,Housing
2,2023-11-05,21.44,Restaurants,Restaurant
4,2023-02-01,70.99,Groceries,Supermarket
6,2022-10-20,152.56,Rent,Rent
7,2023-08-25,70.47,Transport,Uber
6,2022-10-12,170.33,Groceries,Market
4,2023-08-30,74.72,Clothing,Fashion
6,2023-03-01,90.15,Rent,Apartment
3,2022-08-14,5.02,Savings,Deposit
7,2023-05-08,189.61,Clothing,Apparel
7,2024-03-23,181.81,Groceries,Grocery Store
10,2024-04-05,63.38,Savings,Deposit
6,2023-11-21,51.21,Rent,Housing
5,2024-05-15,128.63,Transport,Uber
3,2022-12-09,104.86,Rent,Rent
4,2024-03-22,95.08,Restaurants,Diner
10,2023-01-17,29.36,Rent,Apartment
9,2023-05-28,26.26,Entertainment,Netflix
9,2023-09-29,179.23,Entertainment,Cinema
5,2023-11-10,178.86,Savings,Savings Account
2,2023-03-21,162.95,Healthcare,Hospital
5,2023-07-29,50.44,Food Delivery,UberEats
6,2022-09-12,186.99,Savings,Deposit
2,2023-07-10,153.05,Groceries,Grocery Store
2,2022-12-31,19.16,Clothing,Clothing Store
5,2023-07-02,90.23,Clothing,Apparel
5,2024-07-13,23.46,Transport,Bus
5,2024-08-04,111.93,Food Delivery,UberEats
10,2022-12-21,44.3,Transport,Uber
5,2024-07-02,34.47,Entertainment,Theater
6,2022-08-20,41.57,Entertainment,Concert
2,2024-02-21,30.93,Rent,Apartment
10,2023-09-21,90.25,Entertainment,Netflix
2,2023-01-20,122.42,Rent,Housing
9,2024-04-15,97.39,Transport,Bus
9,2023-12-15,154.32,Transport,Bus
5,2023-01-19,155.77,Utilities,Internet
5,2024-06-09,186.75,Food Delivery,UberEats
5,2024-01-03,133.13,Transport,Taxi
10,2024-04-05,43.34,Groceries,Supermarket
3,2022-10-11,49.59,Clothing,Apparel
6,2023-06-30,77.98,Clothing,Fashion
1,2022-11-30,193.84,Rent,Apartment
3,2024-06-03,89.28,Healthcare,Pharmacy
1,2024-02-07,71.19,Restaurants,Restaurant
6,2023-06-20,168.94,Restaurants,Diner
2,2023-12-13,20.44,Entertainment,Netflix
4,2024-07-25,99.74,Entertainment,Theater
2,2022-10-19,13.87,Rent,Rent
9,2024-01-31,139.68,Utilities,Internet
4,2022-10-20,71.44,Utilities,Water
4,2023-06-21,7.18,Clothing,Apparel
5,2023-05-23,67.2,Savings,Savings Account
8,2024-06-01,125.75,Savings,Deposit
3,2023-08-31,77.03,Utilities,Internet
8,2023-10-23,189.1,Utilities,Water
3,2022-10-25,157.68,Rent,Housing
1,2023-04-02,155.57,Transport,Taxi
8,2023-04-03,148.29,Clothing,Apparel
1,2023-09-28,68.3,Food Delivery,Deliveroo
9,2023-05-24,127.28,Clothing,Apparel
9,2023-02-14,168.8,Savings,Deposit
8,2022-11-13,25.84,Healthcare,Hospital
6,2024-06-19,136.87,Entertainment,Cinema
6,2024-06-28,125.51,Utilities,Internet
1,2024-04-11,40.0,Clothing,Fashion
7,2024-03-08,150.74,Entertainment,Netflix
4,2023-04-17,144.77,Utilities,Gas
7,2023-03-18,11.21,Rent,Rent
6,2023-05-29,90.69,Transport,Train
10,2024-07-28,36.38,Rent,Rent
4,2023-06-01,147.36,Food Delivery,GrubHub
3,2024-06-22,139.98,Groceries,Supermarket
2,2024-07-16,163.02,Rent,Apartment
2,2024-04-10,120.08,Transport,Train
3,2023-11-24,191.21,Transport,Train
2,2023-10-30,93.44,Food Delivery,Deliveroo
6,2024-06-22,180.02,Food Delivery,GrubHub
7,2023-03-03,187.47,Restaurants,Cafe
4,2024-08-01,175.07,Restaurants,Restaurant
1,2022-09-27,20.86,Entertainment,Concert
9,2024-02-19,182.83,Food Delivery,Deliveroo
2,2022-12-10,199.36,Savings,Savings Account
1,2024-05-06,130.91,Restaurants,Diner
5,2024-04-03,55.39,Entertainment,Concert
5,2022-08-20,173.31,Transport,Train
2,2024-03-20,144.09,Restaurants,Cafe
1,2023-11-30,167.58,Clothing,Apparel
5,2024-04-12,29.11,Transport,Train
